2020.01.27 16:58:57.138 | < W | 190a | 0001 | 41542b4c414e3d300d0a (AT+LAN=0  )
2020.01.27 16:58:57.176 | > N | 190a | 0002 | 41542b4c414e3a300d0a (AT+LAN:0  )
2020.01.27 16:58:57.236 | < W | 190a | 0001 | 41542b54494d45464f524d41543d300d0a (AT+TIMEFORMAT=0  )
2020.01.27 16:58:57.267 | > N | 190a | 0002 | 41542b54494d45464f524d41543a300d0a (AT+TIMEFORMAT:0  )
2020.01.27 16:58:57.333 | < W | 190a | 0001 | 41542b424154540d0a (AT+BATT  )
2020.01.27 16:58:57.371 | > N | 190a | 0002 | 41542b424154543a37380d0a (AT+BATT:78  )
2020.01.27 16:58:57.431 | < W | 190a | 0001 | 41542b534e0d0a (AT+SN  )
2020.01.27 16:58:57.475 | > N | 190a | 0002 | 41542b534e3a3033313730313035313330313132 (AT+SN:03170105130112)
2020.01.27 16:58:57.489 | > N | 190a | 0002 | 37370d0a (77  )
2020.01.27 16:58:57.577 | < W | 190a | 0001 | 41542b555345523d692c3136392c3035390d0a (AT+USER=i,169,059  )
2020.01.27 16:58:57.625 | > N | 190a | 0002 | 41542b555345523a692c3136392c3035390d0a (AT+USER:i,169,059  )
2020.01.27 16:58:57.723 | < W | 190a | 0001 | 41542b414e54495f4c4f53543d300d0a (AT+ANTI_LOST=0  )
2020.01.27 16:58:57.761 | > N | 190a | 0002 | 41542b414e54495f4c4f53543a300d0a (AT+ANTI_LOST:0  )
2020.01.27 16:58:57.821 | < W | 190a | 0001 | 41542b48524d4f4e49544f523d310d0a (AT+HRMONITOR=1  )
2020.01.27 16:58:57.865 | > N | 190a | 0002 | 41542b48524d4f4e49544f523a310d0a (AT+HRMONITOR:1  )
2020.01.27 16:58:57.919 | < W | 190a | 0001 | 41542b46494e4450484f4e453d300d0a (AT+FINDPHONE=0  )
2020.01.27 16:58:57.971 | > N | 190a | 0002 | 41542b46494e4450484f4e453a300d0a (AT+FINDPHONE:0  )
2020.01.27 16:58:58.064 | < W | 190a | 0001 | 41542b554e4954533d310d0a (AT+UNITS=1  )
